iter	Passed	Remaining
282	742	1880
283	743	1875
284	745	1870
285	746	1864
286	748	1859
287	750	1854
288	752	1850
289	753	1844
290	754	1839
291	756	1834
292	758	1829
293	759	1824
294	761	1818
295	762	1813
296	764	1808
297	766	1804
298	768	1801
299	770	1796
300	771	1791
301	772	1786
302	774	1781
303	775	1776
304	777	1771
305	779	1767
306	780	1762
307	782	1758
308	784	1753
309	785	1748
310	787	1743
311	788	1738
312	789	1733
313	791	1728
314	792	1724
315	795	1721
316	797	1717
317	799	1713
318	800	1709
319	802	1704
320	803	1700
321	805	1695
322	806	1690
323	807	1685
324	809	1680
325	810	1676
326	813	1674
327	815	1670
328	817	1666
329	818	1661
330	820	1657
331	821	1652
332	823	1648
333	824	1644
334	826	1640
335	828	1636
336	829	1632
337	831	1627
338	832	1623
339	834	1619
340	835	1614
341	837	1610
342	838	1606
343	840	1602
344	841	1597
345	843	1594
346	845	1590
347	846	1586
348	848	1582
349	849	1578
350	851	1573
351	853	1570
352	854	1566
353	856	1562
354	858	1559
355	860	1556
356	861	1552
357	863	1548
358	864	1544
359	866	1540
360	868	1536
361	869	1532
362	871	1528
363	872	1525
364	874	1521
365	875	1516
366	877	1513
367	878	1509
368	880	1505
369	881	1501
370	883	1498
371	884	1494
372	886	1490
373	888	1486
374	889	1482
375	891	1479
376	892	1475
377	894	1471
378	895	1467
379	897	1464
380	898	1460
381	900	1456
382	902	1453
383	904	1450
384	906	1448
385	908	1445
386	909	1441
387	911	1437
388	912	1433
389	914	1429
390	915	1425
391	916	1422
392	918	1418
393	920	1415
394	921	1411
395	923	1408
396	924	1404
397	926	1400
398	927	1397
399	928	1393
400	930	1389
401	931	1386
402	933	1382
403	935	1379
404	936	1376
405	938	1372
406	939	1369
407	941	1366
408	943	1362
409	944	1359
410	945	1355
411	947	1351
412	948	1348
413	950	1345
414	952	1343
415	954	1339
416	955	1336
417	957	1332
418	958	1329
419	960	1326
420	961	1322
421	963	1319
422	965	1316
423	966	1313
424	968	1309
425	969	1306
426	971	1303
427	972	1299
428	973	1296
429	975	1292
430	976	1289
431	978	1286
432	979	1283
433	981	1280
434	983	1277
435	984	1273
436	986	1270
437	987	1267
438	989	1264
439	990	1261
440	992	1257
441	993	1254
442	995	1251
443	997	1249
444	999	1246
445	1000	1243
446	1002	1239
447	1003	1236
448	1005	1233
449	1006	1230
450	1008	1227
451	1010	1225
452	1012	1222
453	1013	1219
454	1015	1216
455	1016	1212
456	1018	1210
457	1019	1206
458	1021	1203
459	1022	1200
460	1024	1197
461	1025	1194
462	1027	1192
463	1029	1189
464	1030	1186
465	1032	1183
466	1034	1180
467	1035	1177
468	1037	1174
469	1038	1171
470	1039	1167
471	1041	1164
472	1043	1162
473	1045	1159
474	1046	1156
475	1048	1153
476	1049	1151
477	1050	1147
478	1052	1144
479	1054	1141
480	1055	1138
481	1057	1136
482	1059	1133
483	1060	1130
484	1061	1127
485	1063	1124
486	1064	1121
487	1066	1118
488	1067	1115
489	1069	1112
490	1070	1110
491	1072	1107
492	1074	1104
493	1075	1101
494	1077	1098
495	1078	1095
496	1080	1093
497	1081	1090
498	1083	1087
499	1084	1084
500	1086	1081
501	1088	1079
502	1090	1077
503	1091	1074
504	1093	1071
505	1094	1068
506	1096	1066
507	1098	1063
508	1099	1060
509	1100	1057
510	1102	1055
511	1104	1053
512	1106	1050
513	1108	1048
514	1109	1045
515	1111	1042
516	1113	1040
517	1115	1037
518	1116	1034
519	1118	1032
520	1120	1030
521	1122	1027
522	1123	1025
523	1125	1022
524	1127	1019
525	1128	1016
526	1130	1014
527	1131	1011
528	1133	1008
529	1134	1006
530	1136	1003
531	1138	1001
532	1139	998
533	1141	995
534	1142	993
535	1144	990
536	1145	987
537	1146	984
538	1148	982
539	1150	979
540	1151	977
541	1153	974
542	1154	971
543	1156	969
544	1158	966
545	1159	964
546	1160	961
547	1162	958
548	1163	956
549	1165	953
550	1167	951
551	1168	948
552	1169	945
553	1171	943
554	1173	940
555	1174	937
556	1175	935
557	1177	932
558	1178	929
559	1180	927
560	1182	925
561	1183	922
562	1185	919
563	1186	917
564	1188	914
565	1189	912
566	1191	909
567	1192	907
568	1194	904
569	1196	902
570	1197	899
571	1199	897
572	1200	894
573	1202	892
574	1203	889
575	1205	887
576	1206	884
577	1208	882
578	1210	880
579	1212	877
580	1213	875
581	1215	872
582	1216	870
583	1217	867
584	1219	865
585	1221	862
586	1222	860
587	1224	857
588	1226	855
589	1228	853
590	1229	851
591	1231	848
592	1232	846
593	1234	843
594	1235	841
595	1237	838
596	1238	836
597	1240	834
598	1242	831
599	1243	829
600	1245	826
601	1246	824
602	1248	821
603	1249	819
604	1251	816
605	1252	814
606	1254	812
607	1256	810
608	1258	807
609	1259	805
610	1261	803
611	1262	800
612	1264	798
613	1265	795
614	1266	793
615	1268	790
616	1269	788
617	1271	786
618	1273	784
619	1275	781
620	1277	779
621	1278	777
622	1280	774
623	1281	772
624	1283	769
625	1284	767
626	1285	764
627	1287	762
628	1289	760
629	1290	757
630	1292	755
631	1293	753
632	1295	750
633	1296	748
634	1298	746
635	1299	744
636	1301	741
637	1303	739
638	1304	737
639	1306	734
640	1307	732
641	1309	729
642	1310	727
643	1311	725
644	1313	722
645	1315	720
646	1317	719
647	1320	717
648	1321	714
649	1323	712
650	1324	710
651	1325	707
652	1327	705
653	1329	703
654	1330	700
655	1332	698
656	1334	696
657	1335	694
658	1337	691
659	1338	689
660	1339	687
661	1341	684
662	1343	682
663	1345	680
664	1346	678
665	1348	676
666	1350	674
667	1352	672
668	1354	669
669	1355	667
670	1357	665
671	1359	663
672	1361	661
673	1362	659
674	1365	657
675	1366	655
676	1368	652
677	1370	650
678	1372	648
679	1373	646
680	1375	644
681	1376	642
682	1378	640
683	1380	637
684	1382	635
685	1383	633
686	1385	631
687	1387	629
688	1389	627
689	1390	624
690	1392	622
691	1394	620
692	1396	618
693	1398	616
694	1399	614
695	1401	612
696	1403	610
697	1404	607
698	1406	605
699	1407	603
700	1409	601
701	1411	599
702	1412	596
703	1414	594
704	1416	592
705	1417	590
706	1418	588
707	1420	585
708	1421	583
709	1423	581
710	1425	579
711	1427	577
712	1428	575
713	1429	572
714	1431	570
715	1433	568
716	1434	566
717	1435	563
718	1437	561
719	1438	559
720	1440	557
721	1442	555
722	1443	553
723	1445	550
724	1446	548
725	1448	546
726	1450	544
727	1451	542
728	1453	540
729	1454	538
730	1456	536
731	1458	533
732	1460	531
733	1461	529
734	1463	527
735	1464	525
736	1465	523
737	1467	520
738	1468	518
739	1470	516
740	1472	514
741	1473	512
742	1474	510
743	1476	507
744	1477	505
745	1479	503
746	1480	501
747	1482	499
748	1484	497
749	1485	495
750	1487	493
751	1488	490
752	1489	488
753	1491	486
754	1492	484
755	1494	482
756	1495	480
757	1496	477
758	1498	475
759	1500	473
760	1502	471
761	1503	469
762	1505	467
763	1507	465
764	1509	463
765	1510	461
766	1512	459
767	1513	457
768	1515	455
769	1517	453
770	1518	451
771	1520	449
772	1521	446
773	1523	444
774	1524	442
775	1526	440
776	1527	438
777	1529	436
778	1531	434
779	1533	432
780	1534	430
781	1536	428
782	1537	426
783	1539	424
784	1540	421
785	1541	419
786	1543	417
787	1545	415
788	1546	413
789	1548	411
790	1550	409
791	1551	407
792	1553	405
793	1554	403
794	1556	401
795	1557	399
796	1559	397
797	1560	395
798	1561	392
799	1563	390
800	1566	389
801	1567	387
802	1569	384
803	1570	382
804	1572	380
805	1573	378
806	1575	376
807	1577	374
808	1578	372
809	1580	370
810	1581	368
811	1583	366
812	1584	364
813	1585	362
814	1587	360
815	1589	358
816	1590	356
817	1591	354
818	1593	352
819	1595	350
820	1597	348
821	1598	346
822	1600	344
823	1602	342
824	1603	340
825	1604	338
826	1606	336
827	1607	333
828	1609	332
829	1611	330
830	1613	328
831	1615	326
832	1616	324
833	1618	322
834	1619	320
835	1621	318
836	1623	316
837	1624	314
838	1626	312
839	1628	310
840	1629	308
841	1631	306
842	1633	304
843	1634	302
844	1636	300
845	1637	298
846	1638	296
847	1640	294
848	1642	292
849	1644	290
850	1645	288
851	1647	286
852	1648	284
853	1650	282
854	1651	280
855	1653	278
856	1654	276
857	1656	274
858	1658	272
859	1659	270
860	1661	268
861	1662	266
862	1664	264
863	1665	262
864	1667	260
865	1668	258
866	1670	256
867	1672	254
868	1674	252
869	1675	250
870	1677	248
871	1678	246
872	1679	244
873	1681	242
874	1683	240
875	1684	238
876	1685	236
877	1687	234
878	1689	232
879	1691	230
880	1692	228
881	1694	226
882	1695	224
883	1697	222
884	1698	220
885	1700	218
886	1701	216
887	1703	214
888	1705	213
889	1707	211
890	1708	209
891	1710	207
892	1711	205
893	1713	203
894	1714	201
895	1716	199
896	1717	197
897	1719	195
898	1720	193
899	1722	191
900	1723	189
901	1725	187
902	1726	185
903	1727	183
904	1729	181
905	1730	179
906	1732	177
907	1734	175
908	1736	173
909	1737	171
910	1739	169
911	1740	167
912	1741	165
913	1743	164
914	1744	162
915	1746	160
916	1748	158
917	1749	156
918	1751	154
919	1752	152
920	1754	150
921	1755	148
922	1757	146
923	1758	144
924	1760	142
925	1761	140
926	1763	138
927	1764	136
928	1765	134
929	1767	133
930	1768	131
931	1770	129
932	1771	127
933	1773	125
934	1774	123
935	1775	121
936	1777	119
937	1779	117
938	1781	115
939	1783	113
940	1784	111
941	1785	109
942	1787	108
943	1788	106
944	1790	104
945	1792	102
946	1793	100
947	1795	98
948	1796	96
949	1798	94
950	1799	92
951	1801	90
952	1802	88
953	1804	86
954	1805	85
955	1807	83
956	1809	81
957	1810	79
958	1812	77
959	1813	75
960	1815	73
961	1816	71
962	1818	69
963	1819	67
964	1821	66
965	1822	64
966	1824	62
967	1826	60
968	1828	58
969	1829	56
970	1830	54
971	1832	52
972	1833	50
973	1835	49
974	1837	47
975	1838	45
976	1840	43
977	1842	41
978	1843	39
979	1845	37
980	1846	35
981	1848	33
982	1849	31
983	1851	30
984	1852	28
985	1853	26
986	1855	24
987	1857	22
988	1858	20
989	1860	18
990	1861	16
991	1863	15
992	1865	13
993	1866	11
994	1868	9
995	1869	7
996	1872	5
997	1873	3
998	1875	1
999	1876	0
